location,item,UPC,Quantity
UC,100-F5BBO-W6226M-SESLT-XL,198895008048,23
UC,100-F5BDE-P4888M-MDNGO-M,198895009359,28
UC,100-F5BWQ-J5810M-SESLT-1X,198895016944,16
UC,100-F5BWQ-J5810M-SESLT-L,198895016920,46
UC,100-F5BWQ-J5810M-SESLT-M,198895016913,46
UC,100-F5BWQ-J5810M-SESLT-S,198895016906,17
UC,100-F5BWQ-J5810M-SESLT-XL,198895016937,29
UC,100-F5BWQ-V1355M-WINE-XS,198895018153,8
UC,100-F5CEA-W6247M-DOVE-XL,198895018375,19
UC,100-F5CUF-W6221M-ASH-1X/2X,198895105846,19
UC,100-F5CVY-V1343M-IVORY-M,198895021146,122
UC,100-F5CVY-V1343M-IVORY-S,198895021139,104
UC,100-F5CVY-V1343M-IVORY-XL,198895021160,65
UC,100-F5CVY-V1343M-IVORY-XS,198895021122,71
UC,100-F5CVY-W6218M-IVORY-L,198895021429,70
UC,100-F5CVY-W6218M-IVORY-M,198895021412,108
UC,100-F5CVY-W6218M-IVORY-S,198895021405,79
UC,100-F5CVY-W6218M-IVORY-XL,198895021436,56
UC,100-F5DKS-W6243M-DKPRL-L,198895123376,14
UC,100-F5FIT-W6211M-ARCBL-L,198895023522,23
UC,100-F5FWU-W6223M-ASH-2X,198895130404,1
UC,100-F5FYY-T6241M-BLASH-L,198895033873,26
UC,100-F5FYY-T6241M-BLASH-M,198895033866,25
UC,100-F5FYY-T6244P-BLASH-PM,198895094348,59
UC,100-F5FYY-T6244P-BLASH-PS,198895094331,43
UC,100-F5GEZ-C2164M-BISCU-L,198895038250,21
UC,100-F5GEZ-C2164M-BISCU-XL,198895038267,17
UC,100-F5GGR-C2160M-BISCU-L,198895038977,16
UC,100-F5GGR-C2160M-BISCU-M,198895038960,26
UC,100-F5MPS-K5447M-BLACK-L,198895050795,16
UC,100-F5MPS-K5447M-BLACK-M,198895050788,30
UC,100-F5MPS-K5447M-BLACK-S,198895050771,13
UC,100-F5MPS-K5447M-BLACK-XL,198895050801,30
UC,100-F5OET-P4897M-LUNET-L,198895150891,48
UC,100-F5OET-P4897M-LUNET-M,198895150884,71
UC,100-F5OET-P4897M-LUNET-S,198895150877,54
UC,100-F5OET-P4897M-LUNET-XL,198895150907,39
UC,100-F5QVB-J5808M-BLACK-XL,198895056391,18
UC,100-F5QVB-J5808M-WHEAT-1X,198895056490,13
UC,100-F5QVB-J5808M-WHEAT-2X,198895056506,21
